deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-12.746,-5.348,5.182,0.563,-0.775,1.081
3.0,-14.295,-5.578,4.26,0.529,-0.78,1.145
6.0,-14.295,-5.578,4.26,0.529,-0.78,1.145
9.0,-14.295,-5.578,4.26,0.529,-0.78,1.145
12.0,-15.834,-5.877,3.483,0.529,-0.78,1.145
15.0,-15.834,-5.877,3.483,0.476,-0.729,1.239
18.0,-15.834,-5.877,3.483,0.476,-0.729,1.239
21.0,-15.834,-5.877,3.483,0.476,-0.729,1.239
24.0,-16.537,-6.449,3.125,0.439,-0.627,1.366
27.0,-16.537,-6.449,3.125,0.439,-0.627,1.366
30.0,-16.537,-6.449,3.125,0.439,-0.627,1.366
33.0,-16.616,-7.077,3.096,0.459,-0.503,1.495
37.0,-16.616,-7.077,3.096,0.459,-0.503,1.495
41.0,-16.616,-7.077,3.096,0.459,-0.503,1.495
45.0,-15.776,-7.641,3.692,0.561,-0.381,1.571
48.0,-15.776,-7.641,3.692,0.561,-0.381,1.571
52.0,-13.854,-7.872,4.277,0.777,-0.319,1.551
56.0,-13.854,-7.872,4.277,0.777,-0.319,1.551
60.0,-13.854,-7.872,4.277,0.777,-0.319,1.551
64.0,-12.206,-7.448,4.594,1.037,-0.347,1.433
67.0,-12.206,-7.448,4.594,1.037,-0.347,1.433
71.0,-11.124,-6.823,4.399,1.037,-0.347,1.271
75.0,-11.124,-6.823,4.399,1.235,-0.41,1.271
79.0,-11.124,-6.823,4.399,1.235,-0.41,1.271
83.0,-10.406,-6.614,3.697,1.343,-0.518,1.103
87.0,-10.406,-6.614,3.697,1.343,-0.518,1.103
90.0,-10.406,-6.614,2.618,1.343,-0.518,1.103
94.0,-10.15,-6.518,2.618,1.386,-0.648,0.929
98.0,-10.15,-6.518,2.618,1.386,-0.648,0.929
102.0,-10.786,-6.541,1.814,1.377,-0.742,0.768
106.0,-10.786,-6.541,1.814,1.377,-0.742,0.768
110.0,-10.786,-6.541,1.814,1.377,-0.742,0.768
114.0,-11.013,-6.36,1.271,1.363,-0.817,0.627
117.0,-11.013,-6.36,1.271,1.363,-0.817,0.627
121.0,-10.317,-6.036,0.534,1.357,-0.91,0.507
125.0,-10.317,-6.036,0.534,1.357,-0.91,0.507
129.0,-10.317,-6.036,0.534,1.357,-0.91,0.507
133.0,-9.814,-5.181,-0.665,1.31,-0.979,0.394
137.0,-9.814,-5.181,-0.665,1.31,-0.979,0.394
141.0,-9.926,-4.767,-1.734,1.146,-0.96,0.274
145.0,-9.926,-4.767,-1.734,1.146,-0.96,0.274
149.0,-9.926,-4.767,-1.734,1.146,-0.96,0.274
153.0,-10.35,-4.75,-2.354,0.931,-0.865,0.149
157.0,-10.35,-4.75,-2.354,0.931,-0.865,0.149
161.0,-11.094,-4.665,-2.519,0.764,-0.729,0.021
165.0,-11.094,-4.665,-2.519,0.764,-0.729,0.021
169.0,-11.094,-4.665,-2.519,0.764,-0.729,0.021
173.0,-11.59,-4.369,-2.391,0.665,-0.59,-0.11
177.0,-11.59,-4.369,-2.391,0.665,-0.59,-0.11
181.0,-11.339,-4.067,-2.166,0.617,-0.466,-0.252
185.0,-11.339,-4.067,-2.166,0.617,-0.466,-0.252
189.0,-11.339,-4.067,-2.166,0.617,-0.466,-0.252
193.0,-11.668,-3.795,-2.342,0.579,-0.402,-0.407
197.0,-11.668,-3.795,-2.342,0.579,-0.402,-0.407
201.0,-11.143,-3.69,-1.569,0.593,-0.426,-0.572
205.0,-11.143,-3.69,-1.569,0.593,-0.426,-0.572
209.0,-11.309,-2.42,-1.786,0.593,-0.426,-0.572
213.0,-11.309,-2.42,-1.786,0.694,-0.129,-0.647
