deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-9.989,-4.919,3.327,0.846,-0.194,-0.152
3.0,-9.989,-4.919,3.327,0.846,-0.194,-0.152
6.0,-10.652,-5.276,3.773,0.846,-0.194,0.041
9.0,-10.652,-5.276,3.773,0.728,-0.155,0.041
12.0,-10.652,-5.276,3.773,0.728,-0.155,0.041
15.0,-10.652,-5.276,3.773,0.728,-0.155,0.041
18.0,-10.804,-5.868,4.303,0.608,-0.204,0.19
21.0,-10.804,-5.868,4.303,0.608,-0.204,0.19
24.0,-10.804,-5.868,4.303,0.608,-0.204,0.19
27.0,-10.604,-6.408,4.555,0.524,-0.297,0.27
30.0,-10.604,-6.408,4.555,0.524,-0.297,0.27
33.0,-10.604,-6.408,4.555,0.524,-0.297,0.27
37.0,-10.009,-6.608,4.484,0.523,-0.406,0.281
41.0,-10.009,-6.608,4.484,0.523,-0.406,0.281
45.0,-10.009,-6.608,4.484,0.523,-0.406,0.281
49.0,-9.377,-6.62,4.22,0.592,-0.485,0.253
52.0,-9.377,-6.62,4.22,0.592,-0.485,0.253
56.0,-8.934,-6.252,3.903,0.709,-0.512,0.214
60.0,-8.934,-6.252,3.903,0.709,-0.512,0.214
63.0,-8.934,-6.252,3.903,0.709,-0.512,0.214
67.0,-8.627,-5.663,3.745,0.821,-0.499,0.181
71.0,-8.627,-5.663,3.745,0.821,-0.499,0.181
75.0,-8.627,-5.663,3.548,0.821,-0.499,0.181
78.0,-8.146,-4.962,3.548,0.879,-0.477,0.16
82.0,-8.146,-4.962,3.548,0.879,-0.477,0.16
86.0,-7.76,-4.585,3.365,0.846,-0.448,0.141
90.0,-7.76,-4.585,3.365,0.846,-0.448,0.141
93.0,-7.76,-4.585,3.365,0.846,-0.448,0.141
97.0,-7.478,-4.293,3.266,0.766,-0.425,0.123
101.0,-7.478,-4.293,3.266,0.766,-0.425,0.123
105.0,-6.998,-3.817,3.211,0.766,-0.425,0.123
108.0,-6.998,-3.817,3.211,0.65,-0.411,0.09
112.0,-6.998,-3.817,3.211,0.65,-0.411,0.09
116.0,-6.511,-3.525,3.242,0.492,-0.388,0.057
120.0,-6.511,-3.525,3.242,0.492,-0.388,0.057
124.0,-6.511,-3.525,3.242,0.492,-0.388,0.057
128.0,-6.204,-3.403,3.438,0.325,-0.361,0.035
131.0,-6.204,-3.403,3.438,0.325,-0.361,0.035
135.0,-6.01,-3.348,3.633,0.185,-0.34,0.026
139.0,-6.01,-3.348,3.633,0.185,-0.34,0.026
143.0,-6.01,-3.348,3.633,0.185,-0.34,0.026
147.0,-5.823,-3.294,3.763,0.079,-0.328,0.026
150.0,-5.823,-3.294,3.763,0.079,-0.328,0.026
154.0,-5.585,-3.231,3.799,0.079,-0.31,0.031
158.0,-5.585,-3.231,3.799,-0.003,-0.31,0.031
162.0,-5.585,-3.231,3.799,-0.003,-0.31,0.031
166.0,-5.358,-3.208,3.784,-0.068,-0.278,0.038
170.0,-5.358,-3.208,3.784,-0.068,-0.278,0.038
174.0,-5.237,-3.239,3.846,-0.068,-0.278,0.038
