deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-0.471,-6.305,0.64,1.419,1.668,-1.267
3.0,-0.733,-6.237,0.474,1.42,1.726,-1.284
6.0,-0.733,-6.237,0.474,1.42,1.726,-1.284
9.0,-0.733,-6.237,0.474,1.42,1.726,-1.284
12.0,-1.206,-6.09,0.375,1.392,1.789,-1.295
15.0,-1.206,-6.09,0.375,1.392,1.789,-1.295
18.0,-1.206,-6.09,0.375,1.392,1.789,-1.295
21.0,-1.206,-5.954,0.522,1.392,1.789,-1.295
24.0,-1.724,-5.954,0.522,1.343,1.843,-1.303
27.0,-1.724,-5.954,0.522,1.343,1.843,-1.303
30.0,-1.724,-5.954,0.522,1.343,1.843,-1.303
33.0,-2.331,-5.929,0.815,1.274,1.877,-1.3
36.0,-2.331,-5.929,0.815,1.274,1.877,-1.3
39.0,-2.331,-5.929,0.815,1.274,1.877,-1.3
43.0,-2.872,-5.962,1.14,1.196,1.885,-1.281
47.0,-2.872,-5.962,1.14,1.196,1.885,-1.281
51.0,-3.288,-6.003,1.467,1.196,1.885,-1.251
54.0,-3.288,-6.003,1.467,1.131,1.865,-1.251
58.0,-3.288,-6.003,1.467,1.131,1.865,-1.251
62.0,-3.577,-6.217,1.718,1.081,1.818,-1.207
66.0,-3.577,-6.217,1.718,1.081,1.818,-1.207
69.0,-3.577,-6.217,1.718,1.081,1.818,-1.207
73.0,-3.888,-6.365,1.972,1.034,1.756,-1.149
77.0,-3.888,-6.365,1.972,1.034,1.756,-1.149
80.0,-4.164,-6.495,2.274,1.034,1.69,-1.076
84.0,-4.164,-6.495,2.274,0.936,1.69,-1.076
88.0,-4.164,-6.495,2.274,0.936,1.69,-1.076
92.0,-4.365,-6.663,2.574,0.775,1.62,-0.98
95.0,-4.365,-6.663,2.574,0.775,1.62,-0.98
99.0,-4.365,-6.663,2.574,0.775,1.62,-0.98
103.0,-4.568,-6.984,2.897,0.571,1.564,-0.854
107.0,-4.568,-6.984,2.897,0.571,1.564,-0.854
111.0,-4.633,-7.383,3.267,0.351,1.54,-0.713
114.0,-4.633,-7.383,3.267,0.351,1.54,-0.713
118.0,-4.633,-7.383,3.267,0.351,1.54,-0.713
122.0,-4.697,-7.848,3.788,0.159,1.547,-0.573
126.0,-4.697,-7.848,3.788,0.159,1.547,-0.573
130.0,-4.973,-8.237,4.487,0.159,1.547,-0.438
133.0,-4.973,-8.237,4.487,0.02,1.567,-0.438
137.0,-4.973,-8.237,4.487,0.02,1.567,-0.438
141.0,-5.418,-8.675,5.235,-0.085,1.587,-0.298
145.0,-5.418,-8.675,5.235,-0.085,1.587,-0.298
149.0,-5.418,-9.109,5.928,-0.085,1.587,-0.298
