deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.618,-1.895,1.954,-0.931,-0.517,0.007
3.0,-7.618,-1.895,1.954,-0.931,-0.517,0.007
6.0,-7.618,-1.895,1.954,-0.931,-0.517,0.007
9.0,-7.408,-1.131,1.412,-0.979,-0.327,0.025
12.0,-7.408,-1.131,1.412,-0.979,-0.327,0.025
15.0,-7.408,-1.131,1.412,-0.979,-0.327,0.025
18.0,-8.327,-2.101,1.271,-1.155,-0.378,0.033
21.0,-8.327,-2.101,1.271,-1.155,-0.378,0.033
24.0,-8.327,-2.101,1.271,-1.155,-0.378,0.033
27.0,-9.169,-2.641,0.212,-1.155,-0.378,0.033
30.0,-9.169,-2.641,0.212,-1.108,-0.509,0.048
33.0,-9.169,-2.641,0.212,-1.108,-0.509,0.048
37.0,-8.971,-2.597,-0.695,-1.108,-0.564,0.101
41.0,-8.971,-2.597,-0.695,-0.98,-0.564,0.101
45.0,-8.971,-2.597,-0.695,-0.98,-0.564,0.101
49.0,-8.346,-2.453,-0.647,-0.911,-0.498,0.187
53.0,-8.346,-2.453,-0.647,-0.911,-0.498,0.187
57.0,-7.962,-3.121,-1.045,-0.911,-0.498,0.25
60.0,-7.962,-3.121,-1.045,-0.882,-0.432,0.25
64.0,-7.962,-3.121,-1.045,-0.882,-0.432,0.25
68.0,-8.252,-3.977,-0.188,-0.756,-0.28,0.269
72.0,-8.252,-3.977,-0.188,-0.756,-0.28,0.269
76.0,-8.711,-4.01,-0.474,-0.756,-0.28,0.269
80.0,-8.711,-4.01,-0.474,-0.483,-0.075,0.247
84.0,-8.711,-4.01,-0.474,-0.483,-0.075,0.247
88.0,-9.244,-3.832,-0.333,-0.267,0.026,0.222
92.0,-9.244,-3.832,-0.333,-0.267,0.026,0.222
95.0,-9.244,-3.832,-1.233,-0.267,0.026,0.222
99.0,-9.453,-3.854,-1.233,-0.141,-0.071,0.176
103.0,-9.453,-3.854,-1.233,-0.141,-0.071,0.176
107.0,-10.499,-2.786,-0.095,-0.026,-0.048,0.161
111.0,-10.499,-2.786,-0.095,-0.026,-0.048,0.161
115.0,-10.499,-2.786,-0.293,-0.026,-0.048,0.161
119.0,-11.193,-2.407,-0.293,-0.089,-0.01,0.135
123.0,-11.193,-2.407,-0.293,-0.089,-0.01,0.135
128.0,-11.188,-1.936,-0.246,-0.255,-0.095,0.124
132.0,-11.188,-1.936,-0.246,-0.255,-0.095,0.124
136.0,-10.972,-2.024,-0.145,-0.255,-0.148,0.126
140.0,-10.972,-2.024,-0.145,-0.444,-0.148,0.126
144.0,-10.972,-2.024,-0.145,-0.444,-0.148,0.126
148.0,-10.372,-2.172,-0.076,-0.568,-0.18,0.135
152.0,-10.372,-2.172,-0.076,-0.568,-0.18,0.135
156.0,-9.617,-2.424,0.358,-0.663,-0.192,0.14
160.0,-9.617,-2.424,0.358,-0.663,-0.192,0.14
164.0,-9.617,-2.424,0.358,-0.663,-0.192,0.14
168.0,-9.107,-3.024,0.602,-0.726,-0.194,0.109
172.0,-9.107,-3.024,0.602,-0.726,-0.194,0.109
176.0,-8.417,-3.361,0.608,-0.648,-0.173,0.051
180.0,-8.417,-3.361,0.608,-0.648,-0.173,0.051
