deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.948,-2.502,1.88,-0.059,-0.567,-0.375
3.0,-7.948,-2.502,1.88,-0.059,-0.567,-0.375
6.0,-9.361,-2.787,1.43,-0.135,-0.358,-0.34
9.0,-9.361,-2.787,1.43,-0.135,-0.358,-0.34
12.0,-9.361,-2.787,1.43,-0.135,-0.358,-0.34
15.0,-9.642,-2.898,1.494,-0.174,-0.32,-0.271
18.0,-9.642,-2.898,1.494,-0.174,-0.32,-0.271
21.0,-9.642,-2.898,1.494,-0.174,-0.32,-0.271
24.0,-9.966,-3.213,1.61,-0.174,-0.276,-0.185
27.0,-9.966,-3.213,1.61,-0.221,-0.276,-0.185
30.0,-9.966,-3.213,1.61,-0.221,-0.276,-0.185
34.0,-10.189,-3.651,1.842,-0.273,-0.231,-0.105
38.0,-10.189,-3.651,1.842,-0.273,-0.231,-0.105
42.0,-10.189,-3.651,1.842,-0.273,-0.231,-0.105
46.0,-10.254,-4.052,2.095,-0.311,-0.2,-0.049
50.0,-10.254,-4.052,2.095,-0.311,-0.2,-0.049
54.0,-10.226,-4.158,2.268,-0.314,-0.181,-0.025
58.0,-10.226,-4.158,2.268,-0.314,-0.181,-0.025
62.0,-10.226,-4.158,2.268,-0.314,-0.181,-0.025
66.0,-10.08,-4.154,2.233,-0.285,-0.172,-0.025
70.0,-10.08,-4.154,2.233,-0.285,-0.172,-0.025
74.0,-10.036,-4.104,2.047,-0.238,-0.158,-0.031
78.0,-10.036,-4.104,2.047,-0.238,-0.158,-0.031
82.0,-10.036,-4.104,2.047,-0.238,-0.158,-0.031
86.0,-10.103,-3.998,1.898,-0.186,-0.13,-0.033
90.0,-10.103,-3.998,1.898,-0.186,-0.13,-0.033
94.0,-10.184,-3.808,1.866,-0.146,-0.105,-0.039
98.0,-10.184,-3.808,1.866,-0.146,-0.105,-0.039
102.0,-10.184,-3.808,1.866,-0.146,-0.105,-0.039
106.0,-10.22,-3.625,1.911,-0.122,-0.099,-0.048
110.0,-10.22,-3.625,1.911,-0.122,-0.099,-0.048
114.0,-10.171,-3.46,1.933,-0.114,-0.118,-0.061
118.0,-10.171,-3.46,1.933,-0.114,-0.118,-0.061
122.0,-9.992,-3.391,1.926,-0.114,-0.118,-0.061
126.0,-9.992,-3.391,1.926,-0.124,-0.152,-0.075
130.0,-9.992,-3.391,1.926,-0.124,-0.152,-0.075
134.0,-9.759,-3.366,1.892,-0.142,-0.186,-0.084
138.0,-9.759,-3.366,1.892,-0.142,-0.186,-0.084
142.0,-9.544,-3.291,1.911,-0.142,-0.186,-0.093
146.0,-9.544,-3.291,1.911,-0.169,-0.212,-0.093
150.0,-9.544,-3.291,1.911,-0.169,-0.212,-0.093
154.0,-9.276,-3.223,1.982,-0.212,-0.22,-0.098
158.0,-9.276,-3.223,1.982,-0.212,-0.22,-0.098
162.0,-9.078,-3.215,2.185,-0.264,-0.208,-0.093
166.0,-9.078,-3.215,2.185,-0.264,-0.208,-0.093
170.0,-9.078,-3.215,2.185,-0.264,-0.208,-0.093
174.0,-8.931,-3.273,2.451,-0.304,-0.194,-0.083
178.0,-8.931,-3.273,2.451,-0.304,-0.194,-0.083
182.0,-8.791,-3.286,2.709,-0.322,-0.192,-0.081
186.0,-8.791,-3.286,2.709,-0.322,-0.192,-0.081
190.0,-8.791,-3.286,2.709,-0.322,-0.192,-0.081
194.0,-8.695,-3.166,2.92,-0.332,-0.195,-0.088
198.0,-8.695,-3.166,2.92,-0.332,-0.195,-0.088
202.0,-8.592,-3.054,3.026,-0.345,-0.2,-0.096
206.0,-8.592,-3.054,3.026,-0.345,-0.2,-0.096
210.0,-8.592,-3.054,3.026,-0.345,-0.2,-0.096
214.0,-8.518,-2.935,3.156,-0.353,-0.209,-0.101
218.0,-8.518,-2.935,3.156,-0.353,-0.209,-0.101
222.0,-8.531,-2.789,3.105,-0.364,-0.224,-0.1
226.0,-8.531,-2.789,3.105,-0.364,-0.224,-0.1
230.0,-8.531,-2.789,3.105,-0.364,-0.224,-0.1
234.0,-8.648,-2.66,2.917,-0.403,-0.225,-0.095
238.0,-8.648,-2.66,2.917,-0.403,-0.225,-0.095
242.0,-8.914,-2.608,2.9,-0.475,-0.201,-0.082
246.0,-8.914,-2.608,2.9,-0.475,-0.201,-0.082
250.0,-8.914,-2.608,2.9,-0.475,-0.201,-0.082
254.0,-9.282,-2.602,3.09,-0.563,-0.172,-0.067
258.0,-9.282,-2.602,3.09,-0.563,-0.172,-0.067
262.0,-9.585,-2.714,3.369,-0.634,-0.157,-0.057
266.0,-9.585,-2.714,3.369,-0.634,-0.157,-0.057
270.0,-9.585,-2.714,3.631,-0.634,-0.157,-0.057
274.0,-9.756,-2.855,3.631,-0.661,-0.16,-0.05
278.0,-9.756,-2.855,3.631,-0.661,-0.16,-0.05
282.0,-9.739,-2.873,3.885,-0.636,-0.177,-0.053
286.0,-9.739,-2.873,3.885,-0.636,-0.177,-0.053
290.0,-9.535,-2.742,3.995,-0.636,-0.177,-0.053
294.0,-9.535,-2.742,3.995,-0.569,-0.206,-0.066
298.0,-9.535,-2.742,3.995,-0.569,-0.206,-0.066
302.0,-9.407,-2.633,4.063,-0.485,-0.23,-0.074
306.0,-9.407,-2.633,4.063,-0.485,-0.23,-0.074
310.0,-9.279,-2.766,4.22,-0.485,-0.23,-0.075
314.0,-9.279,-2.766,4.22,-0.385,-0.249,-0.075
318.0,-9.279,-2.766,4.22,-0.385,-0.249,-0.075
322.0,-8.924,-2.895,4.146,-0.237,-0.281,-0.077
326.0,-8.924,-2.895,4.146,-0.237,-0.281,-0.077
330.0,-8.697,-2.809,3.894,-0.237,-0.306,-0.079
334.0,-8.697,-2.809,3.894,-0.061,-0.306,-0.079
338.0,-8.697,-2.809,3.894,-0.061,-0.306,-0.079
342.0,-8.783,-2.666,3.662,0.092,-0.3,-0.056
346.0,-8.783,-2.666,3.662,0.092,-0.3,-0.056
350.0,-9.015,-2.62,3.557,0.092,-0.278,0.005
353.0,-9.015,-2.62,3.557,0.211,-0.278,0.005
357.0,-9.015,-2.62,3.557,0.211,-0.278,0.005
361.0,-8.92,-2.608,3.483,0.304,-0.272,0.077
365.0,-8.92,-2.608,3.483,0.304,-0.272,0.077
369.0,-8.92,-2.726,3.197,0.304,-0.272,0.077
373.0,-9.016,-2.726,3.197,0.395,-0.265,0.16
376.0,-9.016,-2.726,3.197,0.395,-0.265,0.16
380.0,-8.87,-2.523,3.025,0.467,-0.275,0.232
384.0,-8.87,-2.523,3.025,0.467,-0.275,0.232
388.0,-8.87,-2.523,3.025,0.467,-0.275,0.232
392.0,-8.844,-2.385,2.913,0.482,-0.27,0.303
395.0,-8.844,-2.385,2.913,0.482,-0.27,0.303
399.0,-8.754,-2.294,2.687,0.46,-0.253,0.373
403.0,-8.754,-2.294,2.687,0.46,-0.253,0.373
407.0,-8.754,-2.294,2.687,0.46,-0.253,0.373
411.0,-8.636,-2.447,2.478,0.414,-0.221,0.43
415.0,-8.636,-2.447,2.478,0.414,-0.221,0.43
418.0,-8.529,-2.596,2.41,0.414,-0.221,0.43
422.0,-8.529,-2.596,2.41,0.365,-0.177,0.465
426.0,-8.529,-2.596,2.41,0.365,-0.177,0.465
430.0,-8.436,-2.637,2.472,0.316,-0.129,0.472
434.0,-8.436,-2.637,2.472,0.316,-0.129,0.472
438.0,-8.436,-2.637,2.472,0.316,-0.129,0.472
441.0,-8.351,-2.696,2.56,0.268,-0.091,0.45
445.0,-8.351,-2.696,2.56,0.268,-0.091,0.45
449.0,-8.215,-2.7,2.715,0.227,-0.074,0.401
453.0,-8.215,-2.7,2.715,0.227,-0.074,0.401
457.0,-8.215,-2.7,2.715,0.227,-0.074,0.401
460.0,-8.079,-2.576,2.836,0.19,-0.076,0.328
464.0,-8.079,-2.576,2.836,0.19,-0.076,0.328
468.0,-7.973,-2.439,2.887,0.19,-0.089,0.246
472.0,-7.973,-2.439,2.887,0.149,-0.089,0.246
476.0,-7.973,-2.439,2.887,0.149,-0.089,0.246
480.0,-7.924,-2.345,2.989,0.109,-0.109,0.164
483.0,-7.924,-2.345,2.989,0.109,-0.109,0.164
487.0,-7.924,-2.358,3.039,0.109,-0.109,0.164
491.0,-7.822,-2.358,3.039,0.078,-0.13,0.095
495.0,-7.822,-2.358,3.039,0.078,-0.13,0.095
499.0,-7.768,-2.427,2.987,0.058,-0.142,0.04
502.0,-7.768,-2.427,2.987,0.058,-0.142,0.04
506.0,-7.768,-2.427,2.987,0.058,-0.142,0.04
510.0,-7.906,-2.454,2.919,0.035,-0.131,0.0
514.0,-7.906,-2.454,2.919,0.035,-0.131,0.0
518.0,-8.262,-2.502,2.885,-0.006,-0.097,-0.018
522.0,-8.262,-2.502,2.885,-0.006,-0.097,-0.018
526.0,-8.262,-2.502,2.885,-0.006,-0.097,-0.018
530.0,-8.74,-2.599,3.06,-0.06,-0.052,-0.005
534.0,-8.74,-2.599,3.06,-0.06,-0.052,-0.005
538.0,-9.196,-2.784,3.123,-0.103,-0.023,0.033
542.0,-9.196,-2.784,3.123,-0.103,-0.023,0.033
545.0,-9.196,-2.784,3.123,-0.103,-0.023,0.033
549.0,-9.718,-2.964,3.12,-0.121,-0.012,0.085
553.0,-9.718,-2.964,3.12,-0.121,-0.012,0.085
557.0,-10.049,-3.063,3.223,-0.117,-0.003,0.142
561.0,-10.049,-3.063,3.223,-0.117,-0.003,0.142
565.0,-10.049,-3.063,3.223,-0.117,-0.003,0.142
569.0,-10.299,-2.808,3.427,-0.104,0.008,0.19
573.0,-10.299,-2.808,3.427,-0.104,0.008,0.19
577.0,-10.12,-2.742,3.392,-0.112,0.003,0.222
581.0,-10.12,-2.742,3.392,-0.112,0.003,0.222
585.0,-10.12,-2.742,3.392,-0.112,0.003,0.222
589.0,-9.785,-2.744,3.287,-0.106,-0.008,0.24
593.0,-9.785,-2.744,3.287,-0.106,-0.008,0.24
597.0,-9.461,-2.763,3.246,-0.084,-0.004,0.234
600.0,-9.461,-2.763,3.246,-0.084,-0.004,0.234
604.0,-9.461,-2.763,3.246,-0.084,-0.004,0.234
608.0,-9.119,-2.776,3.124,-0.057,0.02,0.203
612.0,-9.119,-2.776,3.124,-0.057,0.02,0.203
616.0,-8.831,-2.774,2.956,-0.057,0.02,0.158
620.0,-8.831,-2.774,2.956,-0.025,0.056,0.158
624.0,-8.831,-2.774,2.956,-0.025,0.056,0.158
627.0,-8.744,-2.771,2.837,0.009,0.101,0.109
631.0,-8.744,-2.771,2.837,0.009,0.101,0.109
635.0,-8.744,-2.771,2.837,0.009,0.101,0.109
639.0,-8.797,-2.832,2.783,0.051,0.155,0.068
642.0,-8.797,-2.832,2.783,0.051,0.155,0.068
646.0,-8.866,-2.915,2.727,0.111,0.208,0.042
650.0,-8.866,-2.915,2.727,0.111,0.208,0.042
653.0,-8.866,-2.915,2.727,0.111,0.208,0.042
657.0,-8.875,-3.064,2.646,0.193,0.255,0.035
661.0,-8.875,-3.064,2.646,0.193,0.255,0.035
665.0,-8.875,-3.064,2.648,0.193,0.255,0.035
668.0,-8.797,-3.232,2.648,0.282,0.304,0.039
672.0,-8.797,-3.232,2.648,0.282,0.304,0.039
676.0,-8.7,-3.382,2.751,0.372,0.357,0.048
680.0,-8.7,-3.382,2.751,0.372,0.357,0.048
683.0,-8.7,-3.382,2.751,0.372,0.357,0.048
687.0,-8.649,-3.607,2.885,0.468,0.41,0.056
691.0,-8.649,-3.607,2.885,0.468,0.41,0.056
695.0,-8.649,-3.934,2.987,0.468,0.41,0.056
698.0,-8.606,-3.934,2.987,0.582,0.453,0.055
702.0,-8.606,-3.934,2.987,0.582,0.453,0.055
706.0,-8.579,-4.244,3.056,0.731,0.487,0.036
709.0,-8.579,-4.244,3.056,0.731,0.487,0.036
713.0,-8.579,-4.244,3.056,0.731,0.487,0.036
717.0,-8.502,-4.596,3.029,0.924,0.518,-0.003
721.0,-8.502,-4.596,3.029,0.924,0.518,-0.003
725.0,-8.364,-4.873,2.974,0.924,0.518,-0.066
728.0,-8.364,-4.873,2.974,1.145,0.556,-0.066
732.0,-8.364,-4.873,2.974,1.145,0.556,-0.066
736.0,-8.029,-5.0,2.891,1.373,0.612,-0.146
740.0,-8.029,-5.0,2.891,1.373,0.612,-0.146
744.0,-8.029,-5.0,2.935,1.373,0.612,-0.146
747.0,-7.571,-5.006,2.935,1.6,0.693,-0.233
751.0,-7.571,-5.006,2.935,1.6,0.693,-0.233
755.0,-7.261,-5.064,3.133,1.82,0.785,-0.317
759.0,-7.261,-5.064,3.133,1.82,0.785,-0.317
763.0,-7.261,-5.064,3.133,1.82,0.785,-0.317
767.0,-7.187,-5.197,3.307,2.021,0.869,-0.39
770.0,-7.187,-5.197,3.307,2.021,0.869,-0.39
774.0,-7.333,-5.326,3.391,2.194,0.935,-0.453
778.0,-7.333,-5.326,3.391,2.194,0.935,-0.453
782.0,-7.333,-5.326,3.391,2.194,0.935,-0.453
786.0,-7.546,-5.426,3.517,2.338,0.988,-0.51
789.0,-7.546,-5.426,3.517,2.338,0.988,-0.51
793.0,-7.77,-5.591,3.873,2.338,0.988,-0.51
797.0,-7.77,-5.591,3.873,2.462,1.022,-0.57
801.0,-7.77,-5.591,3.873,2.462,1.022,-0.57
805.0,-8.118,-5.697,4.357,2.57,1.027,-0.639
809.0,-8.118,-5.697,4.357,2.57,1.027,-0.639
812.0,-8.118,-5.697,4.357,2.57,1.027,-0.639
816.0,-8.523,-5.637,4.682,2.662,0.99,-0.712
820.0,-8.523,-5.637,4.682,2.662,0.99,-0.712
824.0,-9.094,-5.507,4.889,2.735,0.918,-0.777
828.0,-9.094,-5.507,4.889,2.735,0.918,-0.777
832.0,-9.094,-5.507,4.889,2.735,0.918,-0.777
835.0,-9.74,-5.371,5.064,2.789,0.8,-0.834
839.0,-9.74,-5.371,5.064,2.789,0.8,-0.834
843.0,-10.149,-5.094,5.283,2.789,0.8,-0.91
847.0,-10.149,-5.094,5.283,2.804,0.64,-0.91
851.0,-10.149,-5.094,5.283,2.804,0.64,-0.91
855.0,-10.225,-4.85,5.733,2.756,0.478,-1.021
859.0,-10.225,-4.85,5.733,2.756,0.478,-1.021
863.0,-10.259,-4.945,6.429,2.756,0.478,-1.021
866.0,-10.259,-4.945,6.429,2.628,0.315,-1.166
870.0,-10.259,-4.945,6.429,2.628,0.315,-1.166
874.0,-10.589,-5.3,7.241,2.446,0.127,-1.35
878.0,-10.589,-5.3,7.241,2.446,0.127,-1.35
882.0,-10.589,-5.801,7.898,2.446,0.127,-1.35
886.0,-11.182,-5.801,7.898,2.272,-0.114,-1.564
890.0,-11.182,-5.801,7.898,2.272,-0.114,-1.564
894.0,-11.713,-6.273,8.349,2.152,-0.393,-1.783
898.0,-11.713,-6.273,8.349,2.152,-0.393,-1.783
902.0,-12.036,-6.513,8.69,2.152,-0.393,-1.783
906.0,-12.036,-6.513,8.69,2.089,-0.673,-1.972
910.0,-12.036,-6.513,8.69,2.089,-0.673,-1.972
914.0,-12.237,-6.803,8.967,2.052,-0.925,-2.109
918.0,-12.237,-6.803,8.967,2.052,-0.925,-2.109
922.0,-12.508,-7.272,9.183,2.052,-0.925,-2.218
926.0,-12.508,-7.272,9.183,2.021,-1.144,-2.218
930.0,-12.508,-7.272,9.183,2.021,-1.144,-2.218
934.0,-12.8,-7.669,9.352,2.007,-1.36,-2.335
938.0,-12.8,-7.669,9.352,2.007,-1.36,-2.335
942.0,-12.976,-7.832,9.666,2.007,-1.588,-2.465
946.0,-12.976,-7.832,9.666,2.029,-1.588,-2.465
950.0,-12.976,-7.832,9.666,2.029,-1.588,-2.465
954.0,-12.942,-7.922,9.797,2.079,-1.828,-2.6
958.0,-12.942,-7.922,9.797,2.079,-1.828,-2.6
962.0,-12.763,-8.144,9.678,2.154,-2.067,-2.737
966.0,-12.763,-8.144,9.678,2.154,-2.067,-2.737
970.0,-12.763,-8.144,9.678,2.154,-2.067,-2.737
974.0,-12.592,-8.462,9.528,2.268,-2.283,-2.874
978.0,-12.592,-8.462,9.528,2.268,-2.283,-2.874
982.0,-12.449,-8.498,9.339,2.436,-2.482,-2.995
986.0,-12.449,-8.498,9.339,2.436,-2.482,-2.995
990.0,-12.449,-8.498,9.339,2.436,-2.482,-2.995
994.0,-12.347,-8.328,9.29,2.624,-2.677,-3.085
998.0,-12.347,-8.328,9.29,2.624,-2.677,-3.085
1002.0,-12.256,-8.176,9.126,2.788,-2.873,-3.14
1006.0,-12.256,-8.176,9.126,2.788,-2.873,-3.14
1010.0,-12.256,-8.176,9.126,2.788,-2.873,-3.14
1014.0,-12.139,-8.085,8.9,2.897,-3.064,-3.172
