deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.588,-5.276,1.947,1.135,0.048,0.073
3.0,-8.588,-5.276,1.947,1.141,0.054,0.073
6.0,-8.588,-5.276,1.947,1.141,0.054,0.073
9.0,-8.588,-5.276,1.947,1.141,0.054,0.073
12.0,-8.425,-3.562,1.811,0.976,0.079,-0.005
15.0,-8.425,-3.562,1.811,0.976,0.079,-0.005
18.0,-8.425,-3.562,1.811,0.976,0.079,-0.005
21.0,-8.598,-2.395,1.901,0.567,0.114,-0.126
24.0,-8.598,-2.395,1.901,0.567,0.114,-0.126
27.0,-8.598,-2.395,1.901,0.567,0.114,-0.126
30.0,-8.858,-1.976,2.182,0.567,0.12,-0.243
33.0,-8.858,-1.976,2.182,0.021,0.12,-0.243
36.0,-8.858,-1.976,2.182,0.021,0.12,-0.243
40.0,-9.407,-2.073,2.176,0.021,0.12,-0.243
43.0,-9.407,-2.073,2.176,-0.486,0.114,-0.306
47.0,-9.407,-2.073,2.176,-0.486,0.114,-0.306
51.0,-10.091,-2.114,1.845,-0.863,0.134,-0.299
55.0,-10.091,-2.114,1.845,-0.863,0.134,-0.299
59.0,-10.091,-2.114,1.845,-0.863,0.134,-0.299
63.0,-10.64,-2.084,1.455,-1.142,0.213,-0.243
67.0,-10.64,-2.084,1.455,-1.142,0.213,-0.243
71.0,-11.113,-2.165,1.419,-1.371,0.328,-0.163
74.0,-11.113,-2.165,1.419,-1.371,0.328,-0.163
78.0,-11.113,-2.165,1.419,-1.371,0.328,-0.163
82.0,-11.479,-2.554,1.792,-1.541,0.441,-0.075
86.0,-11.479,-2.554,1.792,-1.541,0.441,-0.075
90.0,-11.472,-3.018,2.389,-1.6,0.507,0.014
94.0,-11.472,-3.018,2.389,-1.6,0.507,0.014
98.0,-11.472,-3.018,2.389,-1.6,0.507,0.014
102.0,-11.282,-3.322,2.94,-1.527,0.523,0.082
105.0,-11.282,-3.322,2.94,-1.527,0.523,0.082
109.0,-10.871,-3.702,3.227,-1.327,0.508,0.138
113.0,-10.871,-3.702,3.227,-1.327,0.508,0.138
117.0,-10.871,-3.702,3.227,-1.327,0.508,0.138
121.0,-10.457,-3.699,3.124,-0.982,0.48,0.206
125.0,-10.457,-3.699,3.124,-0.982,0.48,0.206
129.0,-10.066,-3.261,2.726,-0.982,0.464,0.282
133.0,-10.066,-3.261,2.726,-0.532,0.464,0.282
137.0,-10.066,-3.261,2.726,-0.532,0.464,0.282
141.0,-9.553,-2.413,2.383,-0.054,0.475,0.375
144.0,-9.553,-2.413,2.383,-0.054,0.475,0.375
148.0,-9.086,-1.344,2.094,-0.054,0.475,0.375
152.0,-9.086,-1.344,2.094,0.374,0.51,0.483
156.0,-9.086,-1.344,2.094,0.374,0.51,0.483
160.0,-8.82,-0.646,1.92,0.702,0.561,0.595
163.0,-8.82,-0.646,1.92,0.702,0.561,0.595
167.0,-8.82,-0.646,1.92,0.702,0.561,0.595
171.0,-8.819,0.094,1.764,0.962,0.617,0.71
174.0,-8.819,0.094,1.764,0.962,0.617,0.71
178.0,-9.046,0.653,1.587,0.962,0.617,0.823
