deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.676,-6.032,2.601,0.686,0.346,0.006
3.0,-9.548,-5.258,2.582,0.649,0.318,-0.086
6.0,-9.548,-5.258,2.582,0.649,0.318,-0.086
9.0,-9.548,-5.258,2.582,0.649,0.318,-0.086
12.0,-10.107,-4.669,2.494,0.52,0.28,-0.134
15.0,-10.107,-4.669,2.494,0.52,0.28,-0.134
18.0,-10.107,-4.669,2.494,0.52,0.28,-0.134
21.0,-10.743,-4.341,2.371,0.314,0.267,-0.157
24.0,-10.743,-4.341,2.371,0.314,0.267,-0.157
27.0,-10.743,-4.341,2.371,0.314,0.267,-0.157
30.0,-10.743,-4.341,2.344,0.314,0.267,-0.157
33.0,-11.109,-4.281,2.344,0.093,0.21,-0.18
37.0,-11.109,-4.281,2.344,0.093,0.21,-0.18
41.0,-11.006,-4.537,2.381,0.093,0.12,-0.217
44.0,-11.006,-4.537,2.381,-0.103,0.12,-0.217
48.0,-11.006,-4.537,2.381,-0.103,0.12,-0.217
52.0,-10.42,-4.868,2.338,-0.215,0.001,-0.27
56.0,-10.42,-4.868,2.338,-0.215,0.001,-0.27
60.0,-9.615,-4.918,2.158,-0.215,0.001,-0.27
64.0,-9.615,-4.918,2.158,-0.23,-0.12,-0.34
68.0,-9.615,-4.918,2.158,-0.23,-0.12,-0.34
72.0,-9.113,-4.494,1.82,-0.19,-0.197,-0.427
76.0,-9.113,-4.494,1.82,-0.19,-0.197,-0.427
79.0,-9.113,-3.524,1.372,-0.19,-0.197,-0.427
83.0,-8.984,-3.524,1.372,-0.187,-0.207,-0.534
87.0,-8.984,-3.524,1.372,-0.187,-0.207,-0.534
91.0,-8.962,-2.401,1.167,-0.317,-0.16,-0.641
95.0,-8.962,-2.401,1.167,-0.317,-0.16,-0.641
99.0,-8.962,-2.401,1.33,-0.317,-0.16,-0.641
103.0,-9.166,-1.554,1.33,-0.584,-0.07,-0.709
107.0,-9.166,-1.554,1.33,-0.584,-0.07,-0.709
111.0,-9.766,-0.914,1.697,-0.928,0.031,-0.733
115.0,-9.766,-0.914,1.697,-0.928,0.031,-0.733
119.0,-9.766,-0.914,1.697,-0.928,0.031,-0.733
123.0,-10.558,0.263,2.297,-1.35,0.131,-0.759
126.0,-10.558,0.263,2.297,-1.35,0.131,-0.759
130.0,-10.668,0.847,3.049,-1.93,0.239,-0.835
134.0,-10.668,0.847,3.049,-1.93,0.239,-0.835
138.0,-10.668,0.847,3.049,-1.93,0.239,-0.835
142.0,-10.915,1.146,3.854,-2.549,0.31,-0.909
146.0,-10.915,1.146,3.854,-2.549,0.31,-0.909
150.0,-10.438,1.564,4.391,-3.137,0.312,-0.977
154.0,-10.438,1.564,4.391,-3.137,0.312,-0.977
158.0,-10.438,1.564,4.391,-3.137,0.312,-0.977
162.0,-9.723,0.264,4.665,-3.589,0.299,-0.943
165.0,-9.723,0.264,4.665,-3.589,0.299,-0.943
169.0,-9.237,-1.414,4.469,-3.635,0.188,-0.741
173.0,-9.237,-1.414,4.469,-3.635,0.188,-0.741
177.0,-9.237,-1.414,4.469,-3.635,0.188,-0.741
181.0,-8.363,-1.834,4.123,-3.31,0.018,-0.525
185.0,-8.363,-1.834,4.123,-3.31,0.018,-0.525
189.0,-7.339,-2.09,3.708,-2.791,-0.111,-0.41
193.0,-7.339,-2.09,3.708,-2.791,-0.111,-0.41
197.0,-7.339,-2.09,3.708,-2.791,-0.111,-0.41
201.0,-6.532,-2.081,3.313,-2.163,-0.198,-0.342
205.0,-6.532,-2.081,3.313,-2.163,-0.198,-0.342
209.0,-6.117,-1.728,3.209,-1.508,-0.264,-0.254
213.0,-6.117,-1.728,3.209,-1.508,-0.264,-0.254
217.0,-6.117,-1.728,3.209,-1.508,-0.264,-0.254
221.0,-6.213,-1.263,3.536,-0.882,-0.322,-0.142
225.0,-6.213,-1.263,3.536,-0.882,-0.322,-0.142
229.0,-6.726,-0.836,4.092,-0.322,-0.402,-0.023
233.0,-6.726,-0.836,4.092,-0.322,-0.402,-0.023
237.0,-6.726,-0.836,4.092,-0.322,-0.402,-0.023
241.0,-7.466,-0.412,4.564,0.144,-0.53,0.082
245.0,-7.466,-0.412,4.564,0.144,-0.53,0.082
248.0,-8.176,0.261,4.905,0.49,-0.7,0.171
252.0,-8.176,0.261,4.905,0.49,-0.7,0.171
256.0,-8.176,0.261,4.905,0.49,-0.7,0.171
260.0,-8.555,1.01,5.112,0.691,-0.907,0.264
263.0,-8.555,1.01,5.112,0.691,-0.907,0.264
267.0,-8.555,1.771,5.188,0.691,-0.907,0.264
271.0,-8.466,1.771,5.188,0.742,-1.134,0.369
274.0,-8.466,1.771,5.188,0.742,-1.134,0.369
278.0,-8.015,2.38,5.29,0.652,-1.369,0.472
282.0,-8.015,2.38,5.29,0.652,-1.369,0.472
286.0,-8.015,2.38,5.29,0.652,-1.369,0.472
289.0,-7.408,2.496,5.309,0.456,-1.601,0.56
293.0,-7.408,2.496,5.309,0.456,-1.601,0.56
297.0,-6.863,2.515,5.303,0.456,-1.601,0.56
301.0,-6.863,2.515,5.303,0.17,-1.818,0.581
304.0,-6.863,2.515,5.303,0.17,-1.818,0.581
308.0,-6.595,2.623,5.365,-0.206,-2.012,0.508
312.0,-6.595,2.623,5.365,-0.206,-2.012,0.508
316.0,-6.595,2.623,5.365,-0.206,-2.012,0.508
320.0,-6.603,2.73,5.33,-0.661,-2.199,0.372
323.0,-6.603,2.73,5.33,-0.661,-2.199,0.372
327.0,-6.562,2.562,5.435,-1.174,-2.39,0.202
331.0,-6.562,2.562,5.435,-1.174,-2.39,0.202
335.0,-6.562,2.562,5.435,-1.174,-2.39,0.202
339.0,-6.29,1.991,5.999,-1.696,-2.578,0.01
342.0,-6.29,1.991,5.999,-1.696,-2.578,0.01
346.0,-5.944,0.667,7.106,-1.696,-2.578,0.01
350.0,-5.944,0.667,7.106,-2.161,-2.75,-0.209
354.0,-5.944,0.667,7.106,-2.161,-2.75,-0.209
358.0,-6.092,-1.825,8.895,-2.547,-2.891,-0.483
362.0,-6.092,-1.825,8.895,-2.547,-2.891,-0.483
366.0,-6.785,-4.922,10.75,-2.547,-2.891,-0.483
370.0,-6.785,-4.922,10.75,-2.856,-3.096,-0.841
374.0,-6.785,-4.922,10.75,-2.856,-3.096,-0.841
378.0,-6.897,-8.429,12.416,-3.153,-3.33,-1.24
