deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.994,-1.887,4.126,-0.087,-0.184,0.123
3.0,-8.994,-1.887,4.126,-0.153,-0.174,0.155
6.0,-8.994,-1.887,4.126,-0.153,-0.174,0.155
9.0,-8.994,-1.887,4.126,-0.153,-0.174,0.155
12.0,-8.856,-1.799,4.366,-0.219,-0.158,0.187
15.0,-8.856,-1.799,4.366,-0.219,-0.158,0.187
18.0,-8.856,-1.799,4.366,-0.219,-0.158,0.187
21.0,-8.844,-1.758,4.359,-0.288,-0.147,0.201
24.0,-8.844,-1.758,4.359,-0.288,-0.147,0.201
27.0,-8.844,-1.758,4.359,-0.288,-0.147,0.201
30.0,-9.083,-1.815,4.35,-0.288,-0.144,0.207
33.0,-9.083,-1.815,4.35,-0.353,-0.144,0.207
37.0,-9.083,-1.815,4.35,-0.353,-0.144,0.207
41.0,-9.313,-1.905,4.162,-0.394,-0.152,0.211
45.0,-9.313,-1.905,4.162,-0.394,-0.152,0.211
48.0,-9.313,-1.905,4.162,-0.394,-0.152,0.211
52.0,-9.397,-1.952,4.033,-0.421,-0.172,0.216
56.0,-9.397,-1.952,4.033,-0.421,-0.172,0.216
60.0,-9.468,-2.164,4.211,-0.444,-0.196,0.224
64.0,-9.468,-2.164,4.211,-0.444,-0.196,0.224
67.0,-9.468,-2.164,4.211,-0.444,-0.196,0.224
71.0,-9.473,-2.396,4.559,-0.438,-0.221,0.238
75.0,-9.473,-2.396,4.559,-0.438,-0.221,0.238
79.0,-9.371,-2.625,4.997,-0.438,-0.221,0.238
83.0,-9.371,-2.625,4.997,-0.413,-0.24,0.241
87.0,-9.371,-2.625,4.997,-0.413,-0.24,0.241
90.0,-9.371,-3.112,5.451,-0.361,-0.26,0.221
94.0,-9.371,-3.112,5.451,-0.361,-0.26,0.221
98.0,-9.371,-3.112,5.451,-0.361,-0.26,0.221
102.0,-9.407,-3.776,5.714,-0.241,-0.285,0.168
106.0,-9.407,-3.776,5.714,-0.241,-0.285,0.168
110.0,-9.59,-4.356,5.964,-0.045,-0.323,0.079
114.0,-9.59,-4.356,5.964,-0.045,-0.323,0.079
117.0,-9.59,-4.356,5.964,-0.045,-0.323,0.079
121.0,-10.038,-4.282,5.844,0.167,-0.377,-0.041
125.0,-10.038,-4.282,5.844,0.167,-0.377,-0.041
129.0,-10.749,-4.992,5.985,0.36,-0.416,-0.171
133.0,-10.749,-4.992,5.985,0.36,-0.416,-0.171
137.0,-10.749,-4.992,5.985,0.36,-0.416,-0.171
141.0,-11.222,-5.277,6.391,0.618,-0.493,-0.273
145.0,-11.222,-5.277,6.391,0.618,-0.493,-0.273
149.0,-11.475,-5.449,6.636,0.893,-0.66,-0.396
153.0,-11.475,-5.449,6.636,0.893,-0.66,-0.396
157.0,-11.475,-5.449,6.636,0.893,-0.66,-0.396
161.0,-11.652,-5.045,6.785,1.118,-0.837,-0.574
165.0,-11.652,-5.045,6.785,1.118,-0.837,-0.574
169.0,-11.806,-4.371,7.239,1.246,-1.098,-0.804
173.0,-11.806,-4.371,7.239,1.246,-1.098,-0.804
177.0,-11.806,-4.126,7.865,1.246,-1.098,-0.804
181.0,-12.212,-4.126,7.865,1.262,-1.373,-1.019
185.0,-12.212,-4.126,7.865,1.262,-1.373,-1.019
189.0,-12.928,-3.985,8.566,1.25,-1.654,-1.215
193.0,-12.928,-3.985,8.566,1.25,-1.654,-1.215
197.0,-13.787,-3.901,9.06,1.25,-1.654,-1.215
201.0,-13.787,-3.901,9.06,1.214,-1.959,-1.407
205.0,-13.787,-3.901,9.06,1.214,-1.959,-1.407
209.0,-14.523,-3.932,9.649,1.157,-2.288,-1.596
213.0,-14.523,-3.932,9.649,1.157,-2.288,-1.596
217.0,-15.035,-4.172,10.184,1.157,-2.288,-1.772
221.0,-15.035,-4.172,10.184,1.082,-2.631,-1.772
225.0,-15.035,-4.172,10.184,1.082,-2.631,-1.772
229.0,-15.169,-4.473,10.543,0.995,-2.965,-1.937
234.0,-15.169,-4.473,10.543,0.995,-2.965,-1.937
238.0,-14.913,-4.955,11.217,0.903,-3.266,-2.083
242.0,-14.913,-4.955,11.217,0.903,-3.266,-2.083
246.0,-14.913,-4.955,11.217,0.903,-3.266,-2.083
250.0,-14.645,-5.784,12.199,0.811,-3.543,-2.208
254.0,-14.645,-5.784,12.199,0.811,-3.543,-2.208
258.0,-14.265,-6.696,13.077,0.753,-3.843,-2.343
262.0,-14.265,-6.696,13.077,0.753,-3.843,-2.343
266.0,-14.265,-7.208,13.811,0.753,-3.843,-2.343
270.0,-14.071,-7.208,13.811,0.736,-4.163,-2.506
274.0,-14.071,-7.208,13.811,0.736,-4.163,-2.506
278.0,-13.795,-7.363,14.17,0.783,-4.517,-2.674
282.0,-13.795,-7.363,14.17,0.783,-4.517,-2.674
287.0,-13.207,-7.335,14.289,0.783,-4.852,-2.829
291.0,-13.207,-7.335,14.289,0.896,-4.852,-2.829
295.0,-13.207,-7.335,14.289,0.896,-4.852,-2.829
299.0,-12.314,-7.205,14.359,1.08,-4.989,-2.947
303.0,-12.314,-7.205,14.359,1.08,-4.989,-2.947
307.0,-11.283,-7.277,14.453,1.308,-4.992,-3.028
311.0,-11.283,-7.277,14.453,1.308,-4.992,-3.028
315.0,-11.283,-7.277,14.453,1.308,-4.992,-3.028
319.0,-10.461,-7.201,14.243,1.544,-4.992,-3.108
323.0,-10.461,-7.201,14.243,1.544,-4.992,-3.108
327.0,-9.435,-6.949,14.124,1.762,-4.992,-3.168
331.0,-9.435,-6.949,14.124,1.762,-4.992,-3.168
335.0,-8.192,-6.699,14.457,1.762,-4.992,-3.168
339.0,-8.192,-6.699,14.457,1.931,-4.992,-3.198
343.0,-8.192,-6.699,14.457,1.931,-4.992,-3.198
347.0,-7.114,-6.382,14.707,2.058,-4.992,-3.224
351.0,-7.114,-6.382,14.707,2.058,-4.992,-3.224
355.0,-6.233,-6.573,14.892,2.058,-4.992,-3.224
359.0,-6.233,-6.573,14.892,2.183,-4.992,-3.267
363.0,-6.233,-6.573,14.892,2.183,-4.992,-3.267
367.0,-5.568,-6.888,14.635,2.334,-4.992,-3.331
371.0,-5.568,-6.888,14.635,2.334,-4.992,-3.331
375.0,-4.528,-7.402,14.207,2.334,-4.992,-3.418
379.0,-4.528,-7.402,14.207,2.512,-4.992,-3.418
383.0,-4.528,-7.402,14.207,2.512,-4.992,-3.418
387.0,-3.438,-8.068,13.671,2.701,-4.992,-3.545
391.0,-3.438,-8.068,13.671,2.701,-4.992,-3.545
395.0,-2.533,-8.403,12.66,2.886,-4.992,-3.704
399.0,-2.533,-8.403,12.66,2.886,-4.992,-3.704
403.0,-2.533,-8.403,12.66,2.886,-4.992,-3.704
407.0,-1.417,-8.368,11.517,3.053,-4.992,-3.862
411.0,-1.417,-8.368,11.517,3.053,-4.992,-3.862
415.0,-0.334,-8.173,10.446,3.196,-4.992,-4.029
419.0,-0.334,-8.173,10.446,3.196,-4.992,-4.029
423.0,-0.334,-8.173,10.446,3.196,-4.992,-4.029
427.0,0.553,-7.897,9.488,3.304,-4.992,-4.209
431.0,0.553,-7.897,9.488,3.304,-4.992,-4.209
435.0,0.998,-7.348,8.411,3.382,-4.992,-4.387
439.0,0.998,-7.348,8.411,3.382,-4.992,-4.387
442.0,0.998,-7.348,8.411,3.382,-4.992,-4.387
446.0,1.424,-6.93,7.259,3.436,-4.992,-4.545
450.0,1.424,-6.93,7.259,3.436,-4.992,-4.545
454.0,1.63,-6.4,6.205,3.436,-4.992,-4.545
458.0,1.63,-6.4,6.205,3.462,-4.992,-4.679
462.0,1.63,-6.4,6.205,3.462,-4.992,-4.679
465.0,1.557,-6.021,5.433,3.458,-4.992,-4.776
469.0,1.557,-6.021,5.433,3.458,-4.992,-4.776
473.0,1.557,-6.021,5.433,3.458,-4.992,-4.776
477.0,1.256,-6.031,4.957,3.431,-4.992,-4.844
481.0,1.256,-6.031,4.957,3.431,-4.992,-4.844
484.0,0.748,-6.072,4.602,3.403,-4.961,-4.896
488.0,0.748,-6.072,4.602,3.403,-4.961,-4.896
492.0,0.748,-6.072,4.602,3.403,-4.961,-4.896
496.0,-0.019,-6.187,4.176,3.395,-4.785,-4.916
500.0,-0.019,-6.187,4.176,3.395,-4.785,-4.916
504.0,-0.812,-6.394,3.418,3.417,-4.59,-4.897
508.0,-0.812,-6.394,3.418,3.417,-4.59,-4.897
512.0,-0.812,-6.394,3.418,3.417,-4.59,-4.897
515.0,-1.353,-6.394,2.469,3.475,-4.409,-4.856
519.0,-1.353,-6.394,2.469,3.475,-4.409,-4.856
523.0,-1.82,-5.894,1.621,3.475,-4.409,-4.8
527.0,-1.82,-5.894,1.621,3.571,-4.219,-4.8
531.0,-1.82,-5.894,1.621,3.571,-4.219,-4.8
535.0,-2.302,-5.003,0.791,3.707,-4.027,-4.711
539.0,-2.302,-5.003,0.791,3.707,-4.027,-4.711
543.0,-2.79,-3.575,-0.103,3.707,-4.027,-4.711
547.0,-2.79,-3.575,-0.103,3.869,-3.822,-4.574
551.0,-2.79,-3.575,-0.103,3.869,-3.822,-4.574
555.0,-3.02,-1.957,-1.001,4.047,-3.616,-4.369
559.0,-3.02,-1.957,-1.001,4.047,-3.616,-4.369
563.0,-2.953,0.285,-2.057,4.047,-3.404,-4.128
567.0,-2.953,0.285,-2.057,4.222,-3.404,-4.128
571.0,-2.953,0.285,-2.057,4.222,-3.404,-4.128
574.0,-2.733,3.884,-3.697,4.373,-3.153,-3.819
578.0,-2.733,3.884,-3.697,4.373,-3.153,-3.819
582.0,-1.815,7.918,-5.566,4.373,-3.153,-3.819
586.0,-1.815,7.918,-5.566,4.487,-2.827,-3.384
590.0,-1.815,7.918,-5.566,4.487,-2.827,-3.384
594.0,-0.41,11.847,-7.34,4.548,-2.392,-2.832
598.0,-0.41,11.847,-7.34,4.548,-2.392,-2.832
602.0,1.244,15.426,-8.509,4.548,-2.392,-2.832
606.0,1.244,15.426,-8.509,4.582,-1.85,-2.112
610.0,1.244,15.426,-8.509,4.582,-1.85,-2.112
614.0,2.718,17.635,-8.924,4.622,-1.235,-1.222
618.0,2.718,17.635,-8.924,4.622,-1.235,-1.222
622.0,2.718,19.054,-8.664,4.622,-1.235,-1.222
625.0,3.441,19.054,-8.664,4.62,-0.6,-0.238
629.0,3.441,19.054,-8.664,4.62,-0.6,-0.238
633.0,3.64,19.593,-8.414,4.543,0.009,0.756
637.0,3.64,19.593,-8.414,4.543,0.009,0.756
641.0,3.64,19.593,-8.414,4.543,0.009,0.756
644.0,3.712,19.596,-8.02,4.409,0.586,1.728
648.0,3.712,19.596,-8.02,4.409,0.586,1.728
652.0,4.028,19.596,-7.962,4.217,1.133,2.66
656.0,4.028,19.596,-7.962,4.217,1.133,2.66
659.0,4.028,19.596,-7.962,4.217,1.133,2.66
663.0,4.752,19.513,-7.776,3.964,1.67,3.472
667.0,4.752,19.513,-7.776,3.964,1.67,3.472
671.0,4.752,19.513,-7.15,3.964,1.67,3.472
674.0,5.512,18.293,-7.15,3.599,2.188,4.116
678.0,5.512,18.293,-7.15,3.599,2.188,4.116
682.0,5.832,16.728,-6.348,3.068,2.661,4.6
686.0,5.832,16.728,-6.348,3.068,2.661,4.6
689.0,5.832,16.728,-6.348,3.068,2.661,4.6
693.0,5.678,14.72,-5.288,2.301,3.057,4.909
697.0,5.678,14.72,-5.288,2.301,3.057,4.909
700.0,5.678,11.816,-4.068,2.301,3.057,4.909
704.0,5.04,11.816,-4.068,1.384,3.376,5.011
708.0,5.04,11.816,-4.068,1.384,3.376,5.011
712.0,3.623,8.882,-3.021,0.502,3.612,5.013
715.0,3.623,8.882,-3.021,0.502,3.612,5.013
719.0,3.623,8.882,-3.021,0.502,3.612,5.013
723.0,1.282,6.217,-2.246,-0.274,3.747,5.013
726.0,1.282,6.217,-2.246,-0.274,3.747,5.013
730.0,1.282,3.749,-1.193,-0.274,3.747,5.013
734.0,-1.52,3.749,-1.193,-0.998,3.744,4.999
738.0,-1.52,3.749,-1.193,-0.998,3.744,4.999
741.0,-4.464,0.768,0.88,-1.753,3.538,4.812
745.0,-4.464,0.768,0.88,-1.753,3.538,4.812
749.0,-4.464,0.768,0.88,-1.753,3.538,4.812
753.0,-7.339,-3.281,4.361,-2.604,3.09,4.289
756.0,-7.339,-3.281,4.361,-2.604,3.09,4.289
760.0,-10.978,-7.567,7.366,-2.604,2.392,3.377
764.0,-10.978,-7.567,7.366,-3.534,2.392,3.377
