deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.659,-1.683,3.943,1.169,-0.039,0.08
3.0,-8.659,-1.683,3.943,1.169,-0.039,0.08
6.0,-8.97,-1.09,3.963,1.16,-0.035,0.117
9.0,-8.97,-1.09,3.963,1.16,-0.035,0.117
12.0,-8.97,-1.09,3.963,1.16,-0.035,0.117
15.0,-9.167,-0.742,3.999,1.028,-0.056,0.152
18.0,-9.167,-0.742,3.999,1.028,-0.056,0.152
21.0,-9.167,-0.742,3.999,1.028,-0.056,0.152
24.0,-9.464,-0.748,3.626,1.028,-0.073,0.189
27.0,-9.464,-0.748,3.626,0.819,-0.073,0.189
30.0,-9.464,-0.748,3.626,0.819,-0.073,0.189
33.0,-9.464,-0.748,3.626,0.819,-0.073,0.189
36.0,-9.874,-0.974,3.388,0.575,-0.032,0.221
39.0,-9.874,-0.974,3.388,0.575,-0.032,0.221
43.0,-10.14,-1.272,3.641,0.575,-0.032,0.238
47.0,-10.14,-1.272,3.641,0.342,0.046,0.238
51.0,-10.14,-1.272,3.641,0.342,0.046,0.238
54.0,-10.212,-1.571,4.139,0.168,0.092,0.232
58.0,-10.212,-1.571,4.139,0.168,0.092,0.232
62.0,-10.212,-1.571,4.139,0.168,0.092,0.232
66.0,-9.993,-1.984,4.622,0.085,0.08,0.192
69.0,-9.993,-1.984,4.622,0.085,0.08,0.192
73.0,-9.221,-2.268,4.947,0.085,0.08,0.113
77.0,-9.221,-2.268,4.947,0.111,0.03,0.113
80.0,-9.221,-2.268,4.947,0.111,0.03,0.113
84.0,-8.334,-2.325,5.21,0.224,-0.024,0.006
88.0,-8.334,-2.325,5.21,0.224,-0.024,0.006
91.0,-8.334,-2.325,5.21,0.224,-0.024,0.006
95.0,-7.648,-2.32,5.102,0.392,-0.073,-0.1
99.0,-7.648,-2.32,5.102,0.392,-0.073,-0.1
103.0,-7.551,-2.153,4.747,0.392,-0.073,-0.161
107.0,-7.551,-2.153,4.747,0.581,-0.073,-0.161
110.0,-7.551,-2.153,4.747,0.581,-0.073,-0.161
