deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.613,-5.972,5.243,-0.4,-0.068,0.578
3.0,-7.613,-5.972,5.243,-0.4,-0.068,0.578
6.0,-7.343,-6.438,4.898,-0.322,-0.111,0.556
9.0,-7.343,-6.438,4.898,-0.322,-0.111,0.556
12.0,-7.343,-6.438,4.898,-0.322,-0.111,0.556
15.0,-7.329,-6.808,4.383,-0.322,-0.127,0.516
18.0,-7.329,-6.808,4.383,-0.19,-0.127,0.516
21.0,-7.329,-6.808,4.383,-0.19,-0.127,0.516
24.0,-7.329,-6.808,3.718,-0.19,-0.127,0.516
27.0,-7.607,-6.748,3.718,-0.036,-0.113,0.438
30.0,-7.607,-6.748,3.718,-0.036,-0.113,0.438
33.0,-7.607,-6.748,3.718,-0.036,-0.113,0.438
37.0,-8.305,-6.255,2.987,0.081,-0.081,0.328
40.0,-8.305,-6.255,2.987,0.081,-0.081,0.328
44.0,-8.655,-5.369,2.543,0.081,-0.081,0.208
48.0,-8.655,-5.369,2.543,0.116,-0.048,0.208
51.0,-8.655,-5.369,2.543,0.116,-0.048,0.208
55.0,-9.191,-4.806,2.412,0.022,0.052,0.106
59.0,-9.191,-4.806,2.412,0.022,0.052,0.106
62.0,-9.191,-4.806,2.412,0.022,0.052,0.106
66.0,-9.28,-4.734,2.651,-0.113,0.129,0.017
70.0,-9.28,-4.734,2.651,-0.113,0.129,0.017
74.0,-9.497,-5.06,3.195,-0.113,0.129,-0.058
77.0,-9.497,-5.06,3.195,-0.19,0.18,-0.058
81.0,-9.497,-5.06,3.195,-0.19,0.18,-0.058
85.0,-9.54,-5.649,3.702,-0.127,0.182,-0.092
89.0,-9.54,-5.649,3.702,-0.127,0.182,-0.092
93.0,-9.54,-5.649,3.809,-0.127,0.182,-0.092
96.0,-9.213,-5.737,3.809,0.077,0.147,-0.089
100.0,-9.213,-5.737,3.809,0.077,0.147,-0.089
104.0,-8.506,-5.047,3.571,0.274,0.116,-0.086
108.0,-8.506,-5.047,3.571,0.274,0.116,-0.086
112.0,-8.506,-5.047,3.571,0.274,0.116,-0.086
116.0,-8.131,-4.667,3.425,0.338,0.106,-0.098
119.0,-8.131,-4.667,3.425,0.338,0.106,-0.098
123.0,-7.84,-4.415,3.361,0.327,0.109,-0.106
127.0,-7.84,-4.415,3.361,0.327,0.109,-0.106
131.0,-7.84,-4.415,3.361,0.327,0.109,-0.106
135.0,-7.727,-3.82,3.375,0.255,0.128,-0.117
138.0,-7.727,-3.82,3.375,0.255,0.128,-0.117
142.0,-7.727,-3.094,3.453,0.255,0.128,-0.117
146.0,-7.695,-3.094,3.453,0.074,0.151,-0.151
150.0,-7.695,-3.094,3.453,0.074,0.151,-0.151
154.0,-7.674,-2.497,3.506,-0.218,0.164,-0.203
158.0,-7.674,-2.497,3.506,-0.218,0.164,-0.203
162.0,-7.674,-2.497,3.506,-0.218,0.164,-0.203
165.0,-7.934,-2.363,3.505,-0.562,0.162,-0.264
169.0,-7.934,-2.363,3.505,-0.562,0.162,-0.264
173.0,-8.328,-2.457,3.407,-0.866,0.146,-0.323
177.0,-8.328,-2.457,3.407,-0.866,0.146,-0.323
181.0,-8.328,-2.457,3.407,-0.866,0.146,-0.323
185.0,-8.737,-2.582,3.246,-1.087,0.124,-0.369
189.0,-8.737,-2.582,3.246,-1.087,0.124,-0.369
193.0,-8.888,-2.923,3.123,-1.207,0.108,-0.37
197.0,-8.888,-2.923,3.123,-1.207,0.108,-0.37
201.0,-8.888,-2.923,3.123,-1.207,0.108,-0.37
204.0,-8.767,-3.159,3.13,-1.211,0.103,-0.308
208.0,-8.767,-3.159,3.13,-1.211,0.103,-0.308
212.0,-8.682,-2.942,3.274,-1.15,0.11,-0.221
216.0,-8.682,-2.942,3.274,-1.15,0.11,-0.221
220.0,-8.682,-2.942,3.274,-1.15,0.11,-0.221
224.0,-9.032,-2.883,3.61,-1.112,0.113,-0.136
228.0,-9.032,-2.883,3.61,-1.112,0.113,-0.136
232.0,-8.714,-3.135,4.181,-1.085,0.086,-0.052
236.0,-8.714,-3.135,4.181,-1.085,0.086,-0.052
240.0,-8.714,-3.135,4.181,-1.085,0.086,-0.052
244.0,-8.359,-3.313,4.601,-1.009,0.068,0.039
247.0,-8.359,-3.313,4.601,-1.009,0.068,0.039
251.0,-8.336,-3.278,4.762,-1.009,0.068,0.101
255.0,-8.336,-3.278,4.762,-0.9,0.025,0.101
259.0,-8.336,-3.278,4.762,-0.9,0.025,0.101
263.0,-8.147,-3.222,4.839,-0.734,-0.085,0.131
267.0,-8.147,-3.222,4.839,-0.734,-0.085,0.131
270.0,-8.147,-2.827,4.247,-0.734,-0.085,0.131
274.0,-8.368,-2.827,4.247,-0.545,-0.214,0.149
278.0,-8.368,-2.827,4.247,-0.545,-0.214,0.149
282.0,-8.13,-2.505,3.703,-0.38,-0.388,0.176
286.0,-8.13,-2.505,3.703,-0.38,-0.388,0.176
290.0,-8.13,-2.505,3.27,-0.38,-0.388,0.176
294.0,-7.679,-2.145,3.27,-0.233,-0.514,0.215
298.0,-7.679,-2.145,3.27,-0.233,-0.514,0.215
302.0,-7.224,-1.845,2.969,-0.11,-0.581,0.269
