deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-9.706,-3.103,4.023,-1.889,-0.091,0.413
3.0,-9.706,-3.103,4.023,-1.889,-0.091,0.413
6.0,-9.732,-3.165,4.028,-1.599,-0.139,0.424
9.0,-9.732,-3.165,4.028,-1.599,-0.139,0.424
12.0,-9.732,-3.165,4.028,-1.599,-0.139,0.424
15.0,-9.732,-3.389,3.904,-1.599,-0.139,0.424
18.0,-9.424,-3.389,3.904,-1.327,-0.164,0.448
21.0,-9.424,-3.389,3.904,-1.327,-0.164,0.448
24.0,-9.424,-3.389,3.904,-1.327,-0.164,0.448
27.0,-8.719,-3.412,3.755,-1.046,-0.169,0.482
30.0,-8.719,-3.412,3.755,-1.046,-0.169,0.482
33.0,-8.719,-3.412,3.755,-1.046,-0.169,0.482
37.0,-8.244,-3.135,3.769,-0.818,-0.093,0.496
41.0,-8.244,-3.135,3.769,-0.818,-0.093,0.496
45.0,-8.161,-2.556,4.173,-0.818,-0.093,0.496
49.0,-8.161,-2.556,4.173,-0.668,-0.0,0.465
52.0,-8.161,-2.556,4.173,-0.668,-0.0,0.465
56.0,-8.453,-1.737,4.611,-0.605,0.054,0.398
60.0,-8.453,-1.737,4.611,-0.605,0.054,0.398
64.0,-8.453,-1.737,4.611,-0.605,0.054,0.398
68.0,-8.825,-1.315,5.024,-0.611,0.036,0.316
71.0,-8.825,-1.315,5.024,-0.611,0.036,0.316
75.0,-9.345,-0.864,5.482,-0.611,-0.017,0.253
79.0,-9.345,-0.864,5.482,-0.634,-0.017,0.253
83.0,-9.345,-0.864,5.482,-0.634,-0.017,0.253
86.0,-9.653,-0.44,5.583,-0.692,-0.05,0.213
90.0,-9.653,-0.44,5.583,-0.692,-0.05,0.213
94.0,-9.653,-0.26,5.59,-0.692,-0.05,0.213
98.0,-9.683,-0.26,5.59,-0.764,-0.097,0.194
102.0,-9.683,-0.26,5.59,-0.764,-0.097,0.194
106.0,-9.715,-0.258,5.629,-0.835,-0.125,0.196
110.0,-9.715,-0.258,5.629,-0.835,-0.125,0.196
113.0,-9.715,-0.258,5.629,-0.835,-0.125,0.196
117.0,-9.854,-0.422,5.678,-0.895,-0.141,0.222
121.0,-9.854,-0.422,5.678,-0.895,-0.141,0.222
125.0,-9.987,-1.133,5.705,-0.93,-0.158,0.282
129.0,-9.987,-1.133,5.705,-0.93,-0.158,0.282
133.0,-9.987,-1.133,5.705,-0.93,-0.158,0.282
137.0,-9.97,-1.673,5.563,-0.903,-0.176,0.351
141.0,-9.97,-1.673,5.563,-0.903,-0.176,0.351
145.0,-9.802,-2.029,5.158,-0.848,-0.206,0.385
149.0,-9.802,-2.029,5.158,-0.848,-0.206,0.385
152.0,-9.802,-2.029,5.158,-0.848,-0.206,0.385
156.0,-9.541,-2.477,4.712,-0.78,-0.233,0.381
160.0,-9.541,-2.477,4.712,-0.78,-0.233,0.381
164.0,-9.089,-2.707,4.21,-0.654,-0.25,0.357
168.0,-9.089,-2.707,4.21,-0.654,-0.25,0.357
172.0,-9.089,-2.707,4.21,-0.654,-0.25,0.357
176.0,-8.687,-2.624,3.715,-0.482,-0.251,0.305
180.0,-8.687,-2.624,3.715,-0.482,-0.251,0.305
184.0,-8.603,-2.287,3.349,-0.318,-0.226,0.244
188.0,-8.603,-2.287,3.349,-0.318,-0.226,0.244
192.0,-8.603,-2.287,3.349,-0.318,-0.226,0.244
195.0,-8.729,-2.114,3.109,-0.193,-0.187,0.199
199.0,-8.729,-2.114,3.109,-0.193,-0.187,0.199
203.0,-8.622,-2.212,2.805,-0.193,-0.148,0.182
