deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.813,-3.558,2.081,-0.179,0.072,0.122
3.0,-8.752,-3.112,2.002,-0.267,0.099,0.125
6.0,-8.752,-3.112,2.002,-0.267,0.099,0.125
9.0,-8.752,-3.112,2.002,-0.267,0.099,0.125
12.0,-8.818,-3.072,2.17,-0.453,0.142,0.122
15.0,-8.818,-3.072,2.17,-0.453,0.142,0.122
18.0,-8.818,-3.072,2.17,-0.453,0.142,0.122
21.0,-8.703,-3.394,2.488,-0.645,0.152,0.126
24.0,-8.703,-3.394,2.488,-0.645,0.152,0.126
27.0,-8.703,-3.394,2.488,-0.645,0.152,0.126
30.0,-8.703,-3.674,2.731,-0.645,0.152,0.126
33.0,-8.38,-3.674,2.731,-0.799,0.165,0.117
36.0,-8.38,-3.674,2.731,-0.799,0.165,0.117
40.0,-8.38,-3.674,2.858,-0.799,0.165,0.117
44.0,-8.268,-3.952,2.858,-0.904,0.183,0.09
47.0,-8.268,-3.952,2.858,-0.904,0.183,0.09
51.0,-8.246,-4.158,2.995,-0.951,0.208,0.054
55.0,-8.246,-4.158,2.995,-0.951,0.208,0.054
59.0,-8.246,-4.158,2.995,-0.951,0.208,0.054
62.0,-8.246,-4.304,3.256,-0.944,0.241,0.023
66.0,-8.246,-4.304,3.256,-0.944,0.241,0.023
70.0,-8.343,-4.479,3.709,-0.944,0.241,0.023
74.0,-8.343,-4.479,3.709,-0.892,0.278,-0.002
77.0,-8.343,-4.479,3.709,-0.892,0.278,-0.002
81.0,-8.566,-4.857,4.31,-0.791,0.304,-0.015
85.0,-8.566,-4.857,4.31,-0.791,0.304,-0.015
89.0,-8.566,-4.857,4.31,-0.791,0.304,-0.015
93.0,-8.931,-5.34,5.012,-0.627,0.311,-0.024
96.0,-8.931,-5.34,5.012,-0.627,0.311,-0.024
100.0,-9.313,-5.718,5.601,-0.408,0.304,-0.038
104.0,-9.313,-5.718,5.601,-0.408,0.304,-0.038
108.0,-9.313,-5.718,5.601,-0.408,0.304,-0.038
112.0,-9.578,-5.88,6.027,-0.142,0.26,-0.073
116.0,-9.578,-5.88,6.027,-0.142,0.26,-0.073
120.0,-10.123,-7.147,6.684,0.142,0.187,-0.142
124.0,-10.123,-7.147,6.684,0.142,0.187,-0.142
128.0,-10.123,-7.147,6.684,0.142,0.187,-0.142
132.0,-9.947,-7.257,6.972,0.52,0.021,-0.247
135.0,-9.947,-7.257,6.972,0.52,0.021,-0.247
139.0,-9.998,-6.278,7.298,0.52,0.021,-0.478
143.0,-9.998,-6.278,7.298,0.68,-0.092,-0.478
147.0,-9.998,-6.278,7.298,0.68,-0.092,-0.478
151.0,-10.113,-6.301,7.917,0.514,-0.217,-0.817
155.0,-10.113,-6.301,7.917,0.514,-0.217,-0.817
159.0,-10.125,-6.957,8.721,0.514,-0.217,-0.817
163.0,-10.125,-6.957,8.721,0.25,-0.399,-1.175
167.0,-10.125,-6.957,8.721,0.25,-0.399,-1.175
171.0,-10.318,-8.146,9.711,-0.035,-0.59,-1.522
175.0,-10.318,-8.146,9.711,-0.035,-0.59,-1.522
179.0,-10.334,-9.535,10.939,-0.37,-0.818,-1.886
183.0,-10.334,-9.535,10.939,-0.37,-0.818,-1.886
187.0,-10.334,-9.535,10.939,-0.37,-0.818,-1.886
191.0,-10.452,-11.456,12.025,-0.785,-1.115,-2.333
196.0,-10.452,-11.456,12.025,-0.785,-1.115,-2.333
200.0,-10.527,-13.589,12.38,-1.301,-1.472,-2.929
204.0,-10.527,-13.589,12.38,-1.301,-1.472,-2.929
208.0,-9.637,-15.584,12.182,-1.301,-1.838,-3.648
213.0,-9.637,-15.584,12.182,-1.869,-1.838,-3.648
217.0,-9.637,-15.584,12.182,-1.869,-1.838,-3.648
221.0,-8.961,-18.059,12.263,-2.348,-2.09,-4.39
