deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.079,-6.112,2.819,-1.129,0.319,0.149
3.0,-7.079,-6.112,2.819,-1.129,0.319,0.149
6.0,-6.942,-6.368,3.287,-1.129,0.398,0.084
9.0,-6.942,-6.368,3.287,-1.139,0.398,0.084
12.0,-6.942,-6.368,3.287,-1.139,0.398,0.084
15.0,-6.942,-6.368,3.287,-1.139,0.398,0.084
18.0,-7.112,-6.804,3.838,-1.105,0.458,0.024
21.0,-7.112,-6.804,3.838,-1.105,0.458,0.024
24.0,-7.112,-6.804,3.838,-1.105,0.458,0.024
27.0,-7.406,-6.952,4.3,-1.002,0.465,-0.025
30.0,-7.406,-6.952,4.3,-1.002,0.465,-0.025
33.0,-7.406,-6.952,4.3,-1.002,0.465,-0.025
37.0,-7.601,-6.991,4.569,-0.869,0.421,-0.058
41.0,-7.601,-6.991,4.569,-0.869,0.421,-0.058
44.0,-7.601,-6.991,4.569,-0.869,0.421,-0.058
48.0,-7.513,-7.189,4.647,-0.727,0.358,-0.086
52.0,-7.513,-7.189,4.647,-0.727,0.358,-0.086
56.0,-7.185,-7.479,4.648,-0.727,0.31,-0.103
60.0,-7.185,-7.479,4.648,-0.556,0.31,-0.103
63.0,-7.185,-7.479,4.648,-0.556,0.31,-0.103
67.0,-6.803,-7.981,4.808,-0.354,0.3,-0.121
71.0,-6.803,-7.981,4.808,-0.354,0.3,-0.121
75.0,-6.803,-7.981,5.244,-0.354,0.3,-0.121
79.0,-6.648,-8.572,5.244,-0.119,0.332,-0.155
83.0,-6.648,-8.572,5.244,-0.119,0.332,-0.155
86.0,-6.829,-9.313,5.99,0.156,0.39,-0.208
90.0,-6.829,-9.313,5.99,0.156,0.39,-0.208
94.0,-6.829,-9.313,5.99,0.156,0.39,-0.208
98.0,-7.162,-9.991,6.842,0.485,0.449,-0.277
101.0,-7.162,-9.991,6.842,0.485,0.449,-0.277
105.0,-7.795,-10.324,7.847,0.485,0.449,-0.381
109.0,-7.795,-10.324,7.847,0.803,0.479,-0.381
113.0,-7.795,-10.324,7.847,0.803,0.479,-0.381
117.0,-8.526,-11.78,9.033,1.086,0.438,-0.52
121.0,-8.526,-11.78,9.033,1.086,0.438,-0.52
125.0,-8.794,-11.798,9.444,1.086,0.438,-0.52
129.0,-8.794,-11.798,9.444,1.432,0.277,-0.706
132.0,-8.794,-11.798,9.444,1.432,0.277,-0.706
136.0,-9.589,-11.549,9.45,1.638,0.037,-0.971
140.0,-9.589,-11.549,9.45,1.638,0.037,-0.971
144.0,-9.589,-11.369,9.26,1.638,0.037,-0.971
148.0,-9.625,-11.369,9.26,1.716,-0.235,-1.242
152.0,-9.625,-11.369,9.26,1.716,-0.235,-1.242
156.0,-9.279,-11.433,9.056,1.686,-0.498,-1.5
160.0,-9.279,-11.433,9.056,1.686,-0.498,-1.5
164.0,-8.858,-12.195,8.931,1.686,-0.498,-1.5
168.0,-8.858,-12.195,8.931,1.504,-0.754,-1.804
172.0,-8.858,-12.195,8.931,1.504,-0.754,-1.804
176.0,-8.435,-13.201,8.992,1.155,-1.001,-2.21
180.0,-8.435,-13.201,8.992,1.155,-1.001,-2.21
184.0,-8.073,-14.627,9.398,1.155,-1.001,-2.722
188.0,-8.073,-14.627,9.398,0.625,-1.238,-2.722
192.0,-8.073,-14.627,9.398,0.625,-1.238,-2.722
196.0,-8.106,-16.863,9.984,-0.067,-1.472,-3.333
200.0,-8.106,-16.863,9.984,-0.067,-1.472,-3.333
204.0,-8.27,-19.067,10.437,-0.802,-1.744,-4.072
208.0,-8.27,-19.067,10.437,-0.802,-1.744,-4.072
212.0,-8.27,-19.067,10.437,-0.802,-1.744,-4.072
217.0,-7.973,-19.6,10.697,-1.403,-2.024,-4.798
221.0,-7.973,-19.6,10.697,-1.403,-2.024,-4.798
225.0,-7.403,-19.6,10.947,-1.737,-2.248,-4.995
229.0,-7.403,-19.6,10.947,-1.737,-2.248,-4.995
233.0,-6.912,-19.6,10.965,-1.737,-2.248,-4.995
237.0,-6.912,-19.6,10.965,-1.761,-2.428,-4.995
242.0,-6.912,-19.6,10.965,-1.761,-2.428,-4.995
246.0,-6.861,-19.6,10.244,-1.501,-2.562,-4.995
250.0,-6.861,-19.6,10.244,-1.501,-2.562,-4.995
254.0,-6.674,-19.6,8.889,-1.034,-2.646,-4.995
258.0,-6.674,-19.6,8.889,-1.034,-2.646,-4.995
262.0,-6.674,-19.6,7.43,-1.034,-2.646,-4.995
266.0,-6.266,-19.6,7.43,-0.477,-2.651,-4.995
270.0,-6.266,-19.6,7.43,-0.477,-2.651,-4.995
275.0,-6.536,-19.6,6.133,0.073,-2.581,-4.995
279.0,-6.536,-19.6,6.133,0.073,-2.581,-4.995
283.0,-7.515,-19.6,5.042,0.073,-2.581,-4.995
287.0,-7.515,-19.6,5.042,0.543,-2.483,-4.995
291.0,-7.515,-19.6,5.042,0.543,-2.483,-4.995
295.0,-8.722,-19.6,4.467,0.908,-2.395,-4.995
299.0,-8.722,-19.6,4.467,0.908,-2.395,-4.995
303.0,-9.659,-19.6,4.219,0.908,-2.395,-4.995
306.0,-9.659,-19.6,4.219,1.232,-2.34,-4.995
310.0,-9.659,-19.6,4.219,1.232,-2.34,-4.995
314.0,-10.658,-19.6,4.14,1.547,-2.3,-4.995
319.0,-10.658,-19.6,4.14,1.547,-2.3,-4.995
323.0,-11.878,-18.872,3.94,1.858,-2.277,-4.995
327.0,-11.878,-18.872,3.94,1.858,-2.277,-4.995
331.0,-11.878,-18.872,3.94,1.858,-2.277,-4.995
335.0,-12.641,-16.851,3.696,2.155,-2.272,-4.995
339.0,-12.641,-16.851,3.696,2.155,-2.272,-4.995
343.0,-12.767,-14.783,3.293,2.384,-2.263,-4.995
347.0,-12.767,-14.783,3.293,2.384,-2.263,-4.995
351.0,-12.767,-14.783,2.826,2.384,-2.263,-4.995
355.0,-12.818,-12.979,2.826,2.55,-2.206,-4.995
359.0,-12.818,-12.979,2.826,2.55,-2.206,-4.995
