deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-2.586,-8.846,2.659,-0.197,-0.217,-0.241
3.0,-2.586,-8.846,2.659,-0.197,-0.217,-0.241
6.0,-2.586,-8.846,2.659,-0.197,-0.217,-0.241
9.0,-2.529,-8.822,2.709,-0.197,-0.217,-0.241
12.0,-2.529,-8.822,2.709,-0.249,-0.194,-0.234
15.0,-2.529,-8.822,2.709,-0.249,-0.194,-0.234
18.0,-2.529,-8.822,2.709,-0.249,-0.194,-0.234
21.0,-2.427,-8.841,2.841,-0.303,-0.166,-0.233
24.0,-2.427,-8.841,2.841,-0.303,-0.166,-0.233
27.0,-2.427,-8.841,2.841,-0.303,-0.166,-0.233
30.0,-2.371,-8.926,2.957,-0.352,-0.129,-0.237
34.0,-2.371,-8.926,2.957,-0.352,-0.129,-0.237
38.0,-2.371,-8.926,2.957,-0.352,-0.129,-0.237
42.0,-2.38,-9.12,3.045,-0.382,-0.092,-0.237
46.0,-2.38,-9.12,3.045,-0.382,-0.092,-0.237
50.0,-2.578,-9.224,3.162,-0.369,-0.05,-0.239
54.0,-2.578,-9.224,3.162,-0.369,-0.05,-0.239
58.0,-2.578,-9.224,3.162,-0.369,-0.05,-0.239
61.0,-2.605,-9.231,3.267,-0.331,0.0,-0.235
65.0,-2.605,-9.231,3.267,-0.331,0.0,-0.235
69.0,-2.619,-9.199,3.317,-0.292,0.047,-0.233
73.0,-2.619,-9.199,3.317,-0.292,0.047,-0.233
77.0,-2.619,-9.199,3.317,-0.292,0.047,-0.233
81.0,-2.692,-9.077,3.328,-0.258,0.095,-0.234
84.0,-2.692,-9.077,3.328,-0.258,0.095,-0.234
88.0,-2.722,-9.057,3.342,-0.258,0.139,-0.23
92.0,-2.722,-9.057,3.342,-0.231,0.139,-0.23
96.0,-2.722,-9.057,3.342,-0.231,0.139,-0.23
100.0,-2.637,-9.194,3.361,-0.19,0.182,-0.213
104.0,-2.637,-9.194,3.361,-0.19,0.182,-0.213
107.0,-2.637,-9.329,3.312,-0.19,0.182,-0.213
111.0,-2.557,-9.329,3.312,-0.11,0.226,-0.183
115.0,-2.557,-9.329,3.312,-0.11,0.226,-0.183
119.0,-2.508,-9.507,3.25,-0.008,0.273,-0.155
123.0,-2.508,-9.507,3.25,-0.008,0.273,-0.155
127.0,-2.508,-9.507,3.22,-0.008,0.273,-0.155
131.0,-2.395,-9.681,3.22,0.099,0.348,-0.124
135.0,-2.395,-9.681,3.22,0.099,0.348,-0.124
139.0,-2.517,-9.82,3.004,0.218,0.438,-0.098
142.0,-2.517,-9.82,3.004,0.218,0.438,-0.098
146.0,-2.517,-9.82,3.004,0.218,0.438,-0.098
150.0,-2.256,-9.4,3.003,0.317,0.503,-0.1
154.0,-2.256,-9.4,3.003,0.317,0.503,-0.1
158.0,-2.756,-9.488,2.904,0.347,0.587,-0.108
161.0,-2.756,-9.488,2.904,0.347,0.587,-0.108
165.0,-2.756,-9.488,2.904,0.347,0.587,-0.108
169.0,-2.785,-9.391,2.8,0.397,0.611,-0.102
173.0,-2.785,-9.391,2.8,0.397,0.611,-0.102
177.0,-2.859,-8.916,2.503,0.397,0.611,-0.102
181.0,-2.859,-8.916,2.503,0.426,0.623,-0.107
184.0,-2.859,-8.916,2.503,0.426,0.623,-0.107
188.0,-3.135,-8.785,2.355,0.386,0.622,-0.106
192.0,-3.135,-8.785,2.355,0.386,0.622,-0.106
196.0,-3.135,-8.785,2.355,0.386,0.622,-0.106
200.0,-3.425,-9.122,2.397,0.339,0.606,-0.085
203.0,-3.425,-9.122,2.397,0.339,0.606,-0.085
207.0,-3.358,-9.341,2.384,0.332,0.568,-0.069
211.0,-3.358,-9.341,2.384,0.332,0.568,-0.069
215.0,-3.358,-9.341,2.384,0.332,0.568,-0.069
219.0,-3.311,-9.425,2.254,0.348,0.519,-0.065
223.0,-3.311,-9.425,2.254,0.348,0.519,-0.065
226.0,-3.355,-9.411,2.123,0.348,0.474,-0.064
230.0,-3.355,-9.411,2.123,0.364,0.474,-0.064
234.0,-3.355,-9.411,2.123,0.364,0.474,-0.064
238.0,-3.346,-9.266,2.035,0.362,0.432,-0.062
242.0,-3.346,-9.266,2.035,0.362,0.432,-0.062
245.0,-3.346,-9.266,2.012,0.362,0.432,-0.062
249.0,-3.203,-9.039,2.012,0.328,0.394,-0.057
253.0,-3.203,-9.039,2.012,0.328,0.394,-0.057
257.0,-3.025,-8.831,2.053,0.255,0.361,-0.05
261.0,-3.025,-8.831,2.053,0.255,0.361,-0.05
265.0,-3.025,-8.831,2.053,0.255,0.361,-0.05
268.0,-2.889,-8.684,2.148,0.157,0.332,-0.041
272.0,-2.889,-8.684,2.148,0.157,0.332,-0.041
276.0,-2.847,-8.626,2.291,0.045,0.301,-0.032
280.0,-2.847,-8.626,2.291,0.045,0.301,-0.032
284.0,-2.847,-8.626,2.291,0.045,0.301,-0.032
287.0,-2.846,-8.623,2.422,-0.064,0.262,-0.027
291.0,-2.846,-8.623,2.422,-0.064,0.262,-0.027
295.0,-2.832,-8.647,2.503,-0.064,0.262,-0.021
299.0,-2.832,-8.647,2.503,-0.16,0.216,-0.021
303.0,-2.832,-8.647,2.503,-0.16,0.216,-0.021
307.0,-2.844,-8.699,2.558,-0.236,0.168,-0.012
311.0,-2.844,-8.699,2.558,-0.236,0.168,-0.012
315.0,-2.856,-8.746,2.591,-0.236,0.168,-0.012
319.0,-2.856,-8.746,2.591,-0.29,0.12,-0.0
323.0,-2.856,-8.746,2.591,-0.29,0.12,-0.0
327.0,-2.855,-8.78,2.622,-0.332,0.074,0.015
330.0,-2.855,-8.78,2.622,-0.332,0.074,0.015
334.0,-2.855,-8.78,2.642,-0.332,0.074,0.015
338.0,-2.867,-8.841,2.642,-0.368,0.03,0.03
342.0,-2.867,-8.841,2.642,-0.368,0.03,0.03
346.0,-2.912,-8.929,2.672,-0.4,-0.008,0.041
350.0,-2.912,-8.929,2.672,-0.4,-0.008,0.041
353.0,-2.912,-8.929,2.672,-0.4,-0.008,0.041
357.0,-2.964,-8.985,2.719,-0.421,-0.041,0.048
361.0,-2.964,-8.985,2.719,-0.421,-0.041,0.048
365.0,-2.988,-9.0,2.763,-0.433,-0.073,0.051
369.0,-2.988,-9.0,2.763,-0.433,-0.073,0.051
373.0,-2.988,-9.0,2.763,-0.433,-0.073,0.051
377.0,-3.018,-8.993,2.775,-0.435,-0.105,0.056
381.0,-3.018,-8.993,2.775,-0.435,-0.105,0.056
385.0,-3.028,-8.962,2.788,-0.427,-0.135,0.062
389.0,-3.028,-8.962,2.788,-0.427,-0.135,0.062
392.0,-3.028,-8.962,2.788,-0.427,-0.135,0.062
396.0,-3.035,-8.941,2.789,-0.412,-0.163,0.07
400.0,-3.035,-8.941,2.789,-0.412,-0.163,0.07
404.0,-3.048,-8.884,2.755,-0.412,-0.192,0.083
408.0,-3.048,-8.884,2.755,-0.388,-0.192,0.083
412.0,-3.048,-8.884,2.755,-0.388,-0.192,0.083
416.0,-3.044,-8.841,2.71,-0.364,-0.22,0.1
420.0,-3.044,-8.841,2.71,-0.364,-0.22,0.1
424.0,-3.063,-8.845,2.601,-0.364,-0.22,0.12
428.0,-3.063,-8.845,2.601,-0.341,-0.246,0.12
432.0,-3.063,-8.845,2.601,-0.341,-0.246,0.12
435.0,-3.048,-8.809,2.492,-0.318,-0.269,0.14
439.0,-3.048,-8.809,2.492,-0.318,-0.269,0.14
443.0,-3.05,-8.783,2.369,-0.318,-0.269,0.14
447.0,-3.05,-8.783,2.369,-0.302,-0.287,0.164
451.0,-3.05,-8.783,2.369,-0.302,-0.287,0.164
455.0,-3.045,-8.763,2.243,-0.292,-0.3,0.196
459.0,-3.045,-8.763,2.243,-0.292,-0.3,0.196
463.0,-3.045,-8.837,2.133,-0.292,-0.3,0.196
467.0,-3.114,-8.837,2.133,-0.293,-0.311,0.228
471.0,-3.114,-8.837,2.133,-0.293,-0.311,0.228
475.0,-3.179,-8.932,2.061,-0.296,-0.322,0.259
478.0,-3.179,-8.932,2.061,-0.296,-0.322,0.259
482.0,-3.179,-8.932,1.994,-0.296,-0.322,0.259
486.0,-3.237,-9.087,1.994,-0.3,-0.331,0.289
490.0,-3.237,-9.087,1.994,-0.3,-0.331,0.289
494.0,-3.3,-9.218,1.929,-0.303,-0.34,0.318
498.0,-3.3,-9.218,1.929,-0.303,-0.34,0.318
502.0,-3.3,-9.218,1.929,-0.303,-0.34,0.318
506.0,-3.347,-9.315,1.89,-0.303,-0.346,0.344
510.0,-3.347,-9.315,1.89,-0.303,-0.346,0.344
514.0,-3.372,-9.357,1.888,-0.3,-0.35,0.369
517.0,-3.372,-9.357,1.888,-0.3,-0.35,0.369
521.0,-3.372,-9.357,1.888,-0.3,-0.35,0.369
525.0,-3.421,-9.342,1.911,-0.296,-0.355,0.391
529.0,-3.421,-9.342,1.911,-0.296,-0.355,0.391
533.0,-3.432,-9.305,1.921,-0.294,-0.361,0.41
537.0,-3.432,-9.305,1.921,-0.294,-0.361,0.41
541.0,-3.432,-9.305,1.921,-0.294,-0.361,0.41
545.0,-3.415,-9.305,1.938,-0.298,-0.361,0.427
549.0,-3.415,-9.305,1.938,-0.298,-0.361,0.427
553.0,-3.421,-9.266,1.959,-0.307,-0.354,0.437
557.0,-3.421,-9.266,1.959,-0.307,-0.354,0.437
560.0,-3.421,-9.266,1.959,-0.307,-0.354,0.437
564.0,-3.392,-9.23,1.986,-0.317,-0.345,0.443
568.0,-3.392,-9.23,1.986,-0.317,-0.345,0.443
572.0,-3.374,-9.226,1.991,-0.33,-0.331,0.447
576.0,-3.374,-9.226,1.991,-0.33,-0.331,0.447
580.0,-3.374,-9.226,1.991,-0.33,-0.331,0.447
584.0,-3.343,-9.206,2.033,-0.336,-0.314,0.449
588.0,-3.343,-9.206,2.033,-0.336,-0.314,0.449
592.0,-3.293,-9.18,2.052,-0.336,-0.295,0.453
596.0,-3.293,-9.18,2.052,-0.336,-0.295,0.453
600.0,-3.293,-9.18,2.052,-0.336,-0.295,0.453
603.0,-3.267,-9.182,2.078,-0.332,-0.276,0.458
607.0,-3.267,-9.182,2.078,-0.332,-0.276,0.458
611.0,-3.273,-9.221,2.093,-0.332,-0.276,0.459
615.0,-3.273,-9.221,2.093,-0.326,-0.253,0.459
619.0,-3.273,-9.221,2.093,-0.326,-0.253,0.459
